addressLocality,addressRegion,latitude,longitude,postalCode,streetAddress,Store
Abbeville,AL,31.56763268,-85.2512107,36310-2417,214 Kirkland Street,Family Dollar
Albertville,AL,34.265782,-86.206143,35950-2329,315 Sand Mountain Dr Se,Family Dollar
Aliceville,AL,33.127951,-88.151062,35442-2155,35 Memorial Parkway East,Family Dollar
Anniston,AL,33.66706,-85.828,36201-3851,1722 Quintard Ave,Family Dollar
Athens,AL,34.798594,-86.971662,35611-3541,"515 S Jefferson Sreet, Suite B",Family Dollar
Atmore,AL,31.02144,-87.488465,36502-2626,500 E Church St,Family Dollar
Auburn,AL,32.61053281,-85.48999808,36832,316 N. Donahue Drive,Family Dollar
Bessemer,AL,33.43400228,-86.93786563,35020-2414,4341 Bessemer Super Highway,Family Dollar
Bessemer,AL,33.38772569,-86.96756229,35020-6229,430 4th Avenue N,Family Dollar
Bessemer,AL,33.39242,-86.95041,35020,330 14th Street S,Family Dollar
Bessemer,AL,33.40547,-86.95767,35020-4872,631 19th St N,Family Dollar
Birmingham,AL,33.55000047,-86.7394171,35206-5012,6629 1st Avenue N,Family Dollar
Birmingham,AL,33.56568212,-86.7839249,35217-3718,4300 Vanderbilt Road,Family Dollar
Birmingham,AL,33.587917,-86.69226,35235,332 Gadsden Hwy,Family Dollar
Birmingham,AL,33.480199,-86.844924,35211,925 Dennison Avenue Sw,Family Dollar
Birmingham,AL,33.496491,-86.87877,35208-4712,2224 Bessemer Rd,Family Dollar
Birmingham,AL,33.479819,-86.862074,35211-3360,1747 Jefferson Ave Sw,Family Dollar
Birmingham,AL,33.46328385,-86.90872681,35228-2233,30 Phillips Dr,Family Dollar
Birmingham,AL,33.642786,-86.70608,35215,2157 Carson Rd,Family Dollar
Birmingham,AL,33.5150991,-86.80747228,35203-3606,1910 2nd Ave N,Family Dollar
Birmingham,AL,33.55331,-86.819212,35207-4504,3120 26th Street N,Family Dollar
Birmingham,AL,33.48107,-86.893666,35208-4325,1355 Bessemer Rd,Family Dollar
Birmingham,AL,33.533272,-86.799885,35234-3219,3001 12th Ave N,Family Dollar
Birmingham,AL,33.511014,-86.895976,35218-2212,2003 Avenue F Ensley,Family Dollar
Birmingham,AL,33.539011,-86.752955,35212-2403,5401 1st Ave. N.,Family Dollar
Birmingham,AL,33.608904,-86.687794,35215-7402,608 Springville Rd,Family Dollar
Birmingham,AL,33.558151,-86.732806,35206-4213,7330 1st Ave N,Family Dollar
Birmingham,AL,33.541169,-86.870798,35214,1556 Bankhead Hwy W.,Family Dollar
Birmingham,AL,33.51178845,-86.83567854,35204,521 Center Street N,Family Dollar
Birmingham,AL,33.4927,-86.853621,35211-1943,1305 Tuscaloosa Avenue Sw,Family Dollar
Birmingham,AL,33.47011735,-86.88436198,35221-1100,3124 Alemeda Avenue Sw,Family Dollar
Birmingham,AL,33.49518452,-86.82659025,35205,200 6th Avenue S,Family Dollar
Boaz,AL,34.198315,-86.161174,35957-1949,10364 Al Hwy 168,Family Dollar
Brewton,AL,31.122283,-87.070025,36426-1586,"1023 Douglas Avenue, Suite 214",Family Dollar
Butler,AL,32.089014,-88.224438,36904-2430,302 West Pushmataha Street,Family Dollar
Calera,AL,33.104628,-86.753774,35040-1101,8154 Hwy 31,Family Dollar
Camden,AL,31.996664,-87.27981,36726,13 Camden Bypass,Family Dollar
Center Point,AL,33.63976198,-86.6843502,35215,2020 Center Point Parkway,Family Dollar
Chickasaw,AL,30.757821,-88.07601,36611-2213,424 S Craft Highway,Family Dollar
Childersburg,AL,33.278249,-86.356389,35044-1637,913 1st Street Sw,Family Dollar
Citronelle,AL,31.098971,-88.238944,36522-2029,19535 N 3rd St,Family Dollar
Clio,AL,31.70856389,-85.61200536,36017,1181 Brundidge Street,Family Dollar
Dadeville,AL,32.834139,-85.763018,36853-1307,368 N Broadnax St,Family Dollar
Decatur,AL,34.52478,-86.89315,35603-6300,472 Highway 67 S,Family Dollar
Decatur,AL,34.57753,-86.9738,35601-6027,1838 6th Ave Se #B,Family Dollar
Decatur,AL,34.603733,-86.999726,35601-2041,905 Moulton St W,Family Dollar
Demopolis,AL,32.511489,-87.83428,36732-2254,306 E Jackson St,Family Dollar
Dothan,AL,31.22132114,-85.37283292,36301,104 Palm Jean Road,Family Dollar
Dothan,AL,31.210297,-85.392233,36301-3543,1061 S Oates Street,Family Dollar
Dothan,AL,31.238622,-85.40774,36303-3309,1707 Montgomery Hwy,Family Dollar
Eufaula,AL,31.881931,-85.146917,36027-2608,980 S Eufaula Ave,Family Dollar
Eutaw,AL,32.839288,-87.885459,35462-5400,132 Greensboro Street,Family Dollar
Fairfield,AL,33.49883,-86.910622,35064-1401,313 36th Street,Family Dollar
Florala,AL,31.004972,-86.328696,36442-3219,1152 5th Street,Family Dollar
Florence,AL,34.86425442,-87.69100728,35633-1113,3928 Cloverdale Rd,Family Dollar
Foley,AL,30.397203,-87.68296,36535,761 S Mckenzie Street,Family Dollar
Forestdale,AL,33.56926894,-86.89969419,35214,1644 Forestdale Blvd.,Family Dollar
Gadsden,AL,34.023625,-86.020164,35901-3058,301 N 12th Street,Family Dollar
Grand Bay,AL,30.47994,-88.33581,36541,12350 Us Highway 90,Family Dollar
Greensboro,AL,32.70508549,-87.59498662,36744-1575,1095 Tuscaloosa Street,Family Dollar
Greenville,AL,31.830577,-86.621827,36037-2205,217 Cedar Street,Family Dollar
Grove Hill,AL,31.703027,-87.776705,36451-3006,184 S Jackson St.,Family Dollar
Gulf Shores,AL,30.271133,-87.686005,36542,1720 Gulf Shores Pky,Family Dollar
Hartselle,AL,34.443022,-86.938772,35640-2431,501 W Main Street,Family Dollar
Hayneville,AL,32.185037,-86.576568,36040,149 Hayneville Plaza,Family Dollar
Hoover,AL,33.39724,-86.802184,35216-5422,3202 Lorna Road,Family Dollar
Huntsville,AL,34.735782,-86.6086,35816-3317,2715 University Drive Nw,Family Dollar
Huntsville,AL,34.738038,-86.576019,35801-3635,809 Wellman Ave Ne,Family Dollar
Huntsville,AL,34.721,-86.616321,35805-3542,3610 Governors Drive Sw,Family Dollar
Huntsville,AL,34.824597,-86.474006,35811-9230,2700 Winchester Rd Ne,Family Dollar
Huntsville,AL,34.76231035,-86.5785586,35810,405 Mastin Lake Road Nw,Family Dollar
Huntsville,AL,34.77039,-86.617322,35810-3254,3407 Pulaski Pike Nw,Family Dollar
Huntsville,AL,34.79339,-86.59892,35810-1598,2512 Winchester Pike Nw,Family Dollar
Huntsville,AL,34.704229,-86.608706,35805-4643,3321 Triana Blvd Sw,Family Dollar
Irvington,AL,30.494985,-88.232973,36544,9415 Bayou La Batre-Irvington,Family Dollar
Jackson,AL,31.523856,-87.896465,36545-2404,1127 College Ave,Family Dollar
Jemison,AL,32.95786901,-86.74283508,35085,24586 Us Highway 31,Family Dollar
Ladonia,AL,32.470947,-85.094173,36869,3926 Us Hwy 80 W,Family Dollar
Lafayette,AL,32.881528,-85.405171,36862-2518,904 S Lafayette St,Family Dollar
Lanett,AL,32.8703,-85.187277,36863-2053,403 North Gilmer Avenue,Family Dollar
Linden,AL,32.300371,-87.797457,36748-2027,617 S Main St,Family Dollar
Livingston,AL,32.608282,-88.183866,35470,1307 North Washington Street,Family Dollar
Loxley,AL,30.621649,-87.753515,36551,1049 S Hickory Street,Family Dollar
Luverne,AL,31.704309,-86.264697,36049-7016,822 S Forest Av,Family Dollar
Magnolia Springs,AL,30.407204,-87.773566,36555,14627 Us Hwy 98,Family Dollar
Marion,AL,32.619909,-87.317032,36756-3202,110 Fikes Ferry Road,Family Dollar
Mcintosh,AL,31.26495,-88.030734,36553,Highway 43 North,Family Dollar
Midfield,AL,33.450044,-86.926614,35228-3003,639 Bessemer Super Hwy,Family Dollar
Millbrook,AL,32.512911,-86.380497,36054,3435 Highway 14,Family Dollar
Mobile,AL,30.695296,-88.054879,36603-5927,408 N Broad Street,Family Dollar
Mobile,AL,30.719586,-88.082765,36617-3622,2312 Saint Stephens Rd,Family Dollar
Mobile,AL,30.660988,-88.10764,36606-2162,2755 Pleasant Valley Rd,Family Dollar
Mobile,AL,30.673864,-88.055665,36603-1114,670 S Broad St,Family Dollar
Mobile,AL,30.72861,-88.173824,36618-2633,5753 Moffett Rd,Family Dollar
Mobile,AL,30.646752,-88.102845,36605-2421,1354 Navco Rd,Family Dollar
Mobile,AL,30.610396,-88.075685,36605-3835,3002 Dauphin Island Pky,Family Dollar
Mobile,AL,30.58777697,-88.16765272,36619-1976,5441 Hwy 90 W,Family Dollar
Mobile,AL,30.700856,-88.111437,36607-1814,2998 Springhill Ave,Family Dollar
Mobile,AL,30.647485,-88.088524,36605,1281-A Dauphin Island Pkwy.,Family Dollar
Mobile,AL,30.665688,-88.08658,36606-1265,717 Dauphin Island Pkwy,Family Dollar
Mobile,AL,30.67281,-88.171854,36609-2909,316 S. University Blvd,Family Dollar
Mobile,AL,30.721261,-88.150198,36618,4726 Moffett Rd,Family Dollar
Mobile,AL,30.711274,-88.097925,36617,653 Stanton Rd,Family Dollar
Mobile,AL,30.709285,-88.194627,36608,6510 Zeigler Blvd,Family Dollar
Montgomery,AL,32.34344455,-86.34055615,36108,3212 Mobile Highway,Family Dollar
Montgomery,AL,32.374773,-86.29593,36104-4405,225 S Jackson Street,Family Dollar
Montgomery,AL,32.331081,-86.299872,36105-2904,3760 Norman Bridge Rd,Family Dollar
Montgomery,AL,32.36978576,-86.34307703,36108-2122,3200 Day Street,Family Dollar
Montgomery,AL,32.31554267,-86.25931,36116-3830,3485 Woodley Road,Family Dollar
Montgomery,AL,32.30755494,-86.34912429,36108,4949 Mobile Hwy,Family Dollar
Montgomery,AL,32.366314,-86.24366,36109,1011 Perry Hill Road,Family Dollar
Montgomery,AL,32.337017,-86.259735,36111-2203,3030 Mcgehee Road,Family Dollar
Montgomery,AL,32.381217,-86.273765,36107-2003,2525 Madison Ave,Family Dollar
Montgomery,AL,32.352809,-86.324501,36108-4117,872 W Fairview Ave,Family Dollar
Montgomery,AL,32.327045,-86.32478,36105-3019,820 W South Boulevard,Family Dollar
Montgomery,AL,32.363042,-86.300714,36104-5118,1162 S Decatur St,Family Dollar
Montgomery,AL,32.31318495,-86.22367218,36116-4104,5771 Kyser Court,Family Dollar
Montgomery,AL,32.352174,-86.31065,36105-1804,210 W Fairview Ave,Family Dollar
Montgomery,AL,32.330143,-86.231268,36116-1701,3619 East Boulevard,Family Dollar
Montgomery,AL,32.4145,-86.28673,36110-1925,2807 Lower Wetumpka Rd,Family Dollar
Moundville,AL,32.997635,-87.622632,35474,40278 Hwy 69s,Family Dollar
Mount Vernon,AL,31.09059434,-88.01510414,36560-3446,19160 Highway 43,Family Dollar
Opelika,AL,32.643859,-85.390052,36801,1420 2nd Avenue,Family Dollar
Opp,AL,31.285824,-86.25582,36467-2009,303 N. Main Street,Family Dollar
Ozark,AL,31.46264,-85.63944,36360-1435,296 N Union Ave,Family Dollar
Phenix City,AL,32.47388,-85.017374,36867-4229,1710 Crawford Road,Family Dollar
Phenix City,AL,32.467632,-85.029678,36867-5447,1113 280 Bypass,Family Dollar
Phenix City,AL,32.43247,-85.02611,36869-7735,1009 Gateway Dr,Family Dollar
Phenix City,AL,32.495658,-85.017638,36867-3109,1849 Stadium Dr,Family Dollar
Piedmont,AL,33.93320673,-85.60484151,36272,381 Haslam Street,Family Dollar
Prattville,AL,32.439422,-86.473461,36067,104 Highway 82 Bypass,Family Dollar
Prichard,AL,30.746336,-88.077981,36610-1739,1214 N. Wilson Avenue,Family Dollar
Saraland,AL,30.825974,-88.074988,36571-2419,124 Saraland Loop,Family Dollar
Scottsboro,AL,34.673051,-86.02869,35768-1906,502 E Willow Street,Family Dollar
Selma,AL,32.43831,-87.02012,36701-3913,2810 Citizens Parkway,Family Dollar
Selma,AL,32.4158,-87.02517,36703-4509,1007 Broad St,Family Dollar
Semmes,AL,30.821749,-88.258746,36575-0288,6250 Mccrary Rd,Family Dollar
Slocomb,AL,31.107856,-85.599634,36375,534 Lawrence Hwy,Family Dollar
Stevenson,AL,34.86889882,-85.81656231,35772-3769,104 Adam St,Family Dollar
Sylacauga,AL,33.167993,-86.250096,35150-2522,20 N Broadway Ave,Family Dollar
Talladega,AL,33.434724,-86.09999,35160-2419,207 Battle Street E,Family Dollar
Tarrant,AL,33.58909713,-86.76637801,35217-2007,2100 Pinson Valley Parkway,Family Dollar
Theodore,AL,30.562132,-88.215721,36582-4029,7371 Theodore Dawes Rd,Family Dollar
Troy,AL,31.813903,-85.970485,36081-2705,705 N Tree Notch Street,Family Dollar
Tuscaloosa,AL,33.189211,-87.576921,35401,2515 Martin Luther King Jr Blv,Family Dollar
Tuscaloosa,AL,33.1730181,-87.54630534,35405-2846,3851 Greensboro Avenue,Family Dollar
Tuscaloosa,AL,33.199822,-87.589628,35401-2632,1507 Culver Rd,Family Dollar
Tuscaloosa,AL,33.200698,-87.54454,35401-3434,524 14th St,Family Dollar
Tuskegee,AL,32.422877,-85.69268,36083-2131,208 W. Martin Luther King High,Family Dollar
Union Springs,AL,32.14685076,-85.71183242,36089-1412,205 Conecuh Ave E,Family Dollar
Valley,AL,32.797868,-85.184089,36854,301a Us Highway 29,Family Dollar
Vernon,AL,33.753956,-88.113629,35592-1527,9598 Highway 18,Family Dollar
Wedowee,AL,33.31591523,-85.48374524,36278,17318 Highway 431,Family Dollar
Wilmer,AL,30.822808,-88.358226,36587-4419,13281 Moffett Road,Family Dollar
York,AL,32.48895616,-88.29680482,36925,700 4th Avenue,Family Dollar
Aguila,AZ,33.942398,-113.165272,85320,50518 N. Eagle View Drive,Family Dollar
Ajo,AZ,32.376544,-112.87342,85321-2003,601 N 2nd Ave,Family Dollar
Ash Fork,AZ,35.223086,-112.480815,86320,155 W. Park Ave.,Family Dollar
Avondale,AZ,33.42111603,-112.32222802,85353,12214 W. Lower Buckeye Road,Family Dollar
Avondale,AZ,33.439661,-112.340246,85323,725 North Dysart Rd,Family Dollar
Bisbee,AZ,31.400731,-109.917286,85603-9729,1101 S Naco Hwy Ste 105,Family Dollar
Black Canyon City,AZ,34.06875,-112.152801,85324,34150 S Old Black Canyon Hwy,Family Dollar
Bouse,AZ,33.9277,-114.003,85325,28035 State Route 72,Family Dollar
Buckeye,AZ,33.370052,-112.580806,85326-2907,709 Monroe Ave,Family Dollar
Bullhead City,AZ,35.146287,-114.569349,86429-5401,1127 Highway 95,Family Dollar
Bullhead City,AZ,35.108702,-114.61257,86442-5942,1005 Hancock Rd,Family Dollar
Bullhead City,AZ,35.099778,-114.623305,86442-5467,2054 Commercial Way,Family Dollar
Camp Verde,AZ,34.565244,-111.86513,86322,633 Finnie Flat Rd,Family Dollar
Casa Grande,AZ,32.888795,-111.758078,85222-3307,1437 N Pinal Ave,Family Dollar
Casa Grande,AZ,32.880796,-111.733352,85222-4264,1244 E Florence Blvd,Family Dollar
Chandler,AZ,33.322182,-111.840775,85225-6693,1027 N Arizona Ave,Family Dollar
Chino Valley,AZ,34.770044,-112.453712,86323,314 Business Park Dr,Family Dollar
Clifton,AZ,33.056193,-109.309377,85533,355 N Coronado Blvd,Family Dollar
Concho Lake,AZ,34.449852,-109.6307,85924,16 Cr 5064,Family Dollar
Congress,AZ,34.163167,-112.843622,85332,26645 South Highway 89,Family Dollar
Coolidge,AZ,32.982425,-111.523592,85128,555 N Arizona Blvd,Family Dollar
Cordes Lake,AZ,34.32609113,-112.11798037,86333,19660 Hitching Post Way,Family Dollar
Cornville,AZ,34.716966,-111.899499,86325,1255 S Eastern Dr.,Family Dollar
Cottonwood,AZ,34.72772,-112.005453,86326-4604,1685 E Cottonwood St,Family Dollar
Dewey,AZ,34.54685188,-112.2488584,86327,300 N Village Way,Family Dollar
Dolan Springs,AZ,35.588763,-114.27535,86441,15964 Pierce Ferry Rd.,Family Dollar
Douglas,AZ,31.344816,-109.531953,85607-2408,1900 E 10th St,Family Dollar
Duncan,AZ,32.728349,-109.093768,85534,379726 Arizona 75,Family Dollar
Ehrenberg,AZ,33.60865,-114.51784,85334,50045 Ehrenberg Poston Hwy,Family Dollar
Elfrida,AZ,31.6857,-109.687,85610,10391 N Highway 191,Family Dollar
El Mirage,AZ,33.60867355,-112.31968045,85335-3252,12101 W. Thunderbird Road,Family Dollar
Eloy,AZ,32.748981,-111.548655,85131,11 North Santa Cruz,Family Dollar
Flagstaff,AZ,35.215598,-111.599122,86004-4032,3494 E Route 66,Family Dollar
Flagstaff,AZ,35.227253,-111.578585,86004,5060 N. U.S. Highway 89,Family Dollar
Fredonia,AZ,36.9438,-112.527,86022,300 South Main Street,Family Dollar
Ft. Thomas,AZ,33.03880671,-109.96795059,85536,15822 W. Highway 70,Family Dollar
Gila Bend,AZ,32.945861,-112.722599,85337,415 West Pima Ave.,Family Dollar
Glendale,AZ,33.523128,-112.154119,85301,5846 N 43rd Avenue,Family Dollar
Glendale,AZ,33.51622271,-112.18561376,85301,5435 N 59th Avenue,Family Dollar
Glendale,AZ,33.537838,-112.15314,85301-2901,4341 W. Glendale Ave,Family Dollar
Glendale,AZ,33.53081649,-112.1867891,85301,6420 N 59th Avenue,Family Dollar
Glendale,AZ,33.539658,-112.204582,85303-2652,"6744 Glendale Ave., Ste. 155",Family Dollar
Globe,AZ,33.38803,-110.761819,85501-2029,1800 E Ash St,Family Dollar
Golden Valley,AZ,35.220998,-114.176139,86413-8555,4275 Us Highway 68,Family Dollar
Guadalupe,AZ,33.363184,-111.960707,85283,5801 E. Calle Guadalupe,Family Dollar
Heber-Overgaard,AZ,34.406925,-110.565986,85933,2857 Highway 260,Family Dollar
Holbrook,AZ,34.90169,-110.164229,86025-2845,407 West Hopi Dr,Family Dollar
Kearny,AZ,33.058364,-110.904533,85137,302 Alden Rd,Family Dollar
Kingman,AZ,35.25476167,-113.97573916,86409,4130 E John L. Avenue,Family Dollar
Kingman,AZ,35.253452,-114.01277,86409,2930 Northern Ave,Family Dollar
Lake Havasu City,AZ,34.477566,-114.324185,86403-5923,90 Acoma Blvd N,Family Dollar
Lake Montezuma,AZ,34.640854,-111.795737,86335,3125 East Beaver Creek Rd,Family Dollar
Lakeside,AZ,34.142426,-109.953765,85929,20 White Mountain Blvd  #7,Family Dollar
Marana,AZ,32.452648,-111.218105,85653,11825 W Grier Road,Family Dollar
Mayer,AZ,34.398797,-112.229767,86333,10062 South Hwy 69,Family Dollar
Meadview,AZ,35.9659,-114.094,86444,28955 Pierce Ferry Road,Family Dollar
Mesa,AZ,33.399119,-111.85873,85210-2001,840 S. Alma School Road,Family Dollar
Mesa,AZ,33.425807,-111.840373,85201,550 N. Country Club Drive,Family Dollar
Mesa,AZ,33.392868,-111.82539,85210-5345,255 E. Southern Avenue Suite 9,Family Dollar
Mesa,AZ,33.41467,-111.8088,85203-8851,1021 E. Main St.,Family Dollar
Mesa,AZ,33.398605,-111.873985,85202-2901,865 S Dobson Road,Family Dollar
Miami,AZ,33.415426,-110.826131,85539-7700,2250 Us Highway 60  Ste 01,Family Dollar
Mohave Valley,AZ,34.8975,-114.5972,86440,8920 S. Highway 95,Family Dollar
Nogales,AZ,31.338608,-110.937708,85621-2735,400 N Grand Ave,Family Dollar
Nogales,AZ,31.355974,-110.93042,85621-1346,1321 N Grand Ave,Family Dollar
Parker,AZ,34.148438,-114.291679,85344-5020,1016 S Kofa Ave,Family Dollar
Paulden,AZ,34.894935,-112.467325,86334,5 W Big Chino Road,Family Dollar
Peoria,AZ,33.581325,-112.270943,85345-6134,9796 W Peoria Ave,Family Dollar
Phoenix,AZ,33.4516,-112.115,85009-4408,2550 W Van Buren Street,Family Dollar
Phoenix,AZ,33.56454099,-112.0646118,85020-2910,8801 N 7th St.,Family Dollar
Phoenix,AZ,33.494356,-112.084639,85013-3173,725 W. Indian School Road,Family Dollar
Phoenix,AZ,33.479935,-112.13687,85019,3605 W Thomas Road,Family Dollar
Phoenix,AZ,33.40718,-112.033325,85040,2230 E Broadway Road,Family Dollar
Phoenix,AZ,33.52011275,-112.11747312,85017-2603,5628 N 27th Avenue,Family Dollar
Phoenix,AZ,33.495304,-112.20732,85033-3249,6868 W Indian School Road,Family Dollar
Phoenix,AZ,33.59624,-112.0989,85029-3524,12025 N. 19th Avenue,Family Dollar
Phoenix,AZ,33.450947,-112.01386,85008,3121 E. Van Buren Street,Family Dollar
Phoenix,AZ,33.479027,-112.16952,85031-3944,"5109 W Thomas Road, Suite 101",Family Dollar
Phoenix,AZ,33.630405,-112.03021,85032-3530,"15813 N Cave Creek Rd, Suite 1",Family Dollar
Phoenix,AZ,33.48731211,-112.09923917,85015-5702,3349 N 19th Avenue,Family Dollar
Phoenix,AZ,33.48136,-112.03714,85016,2046 E Thomas Rd,Family Dollar
Phoenix,AZ,33.5088,-112.118,85017,2709 W Camelback Rd,Family Dollar
Phoenix,AZ,33.554145,-112.136005,85051-6521,3542 W Northern Ave,Family Dollar
Phoenix,AZ,33.392077,-112.04638,85040-3533,1635 E Southern Ave,Family Dollar
Phoenix,AZ,33.493374,-112.219701,85033-3139,7421 W Indian School Rd,Family Dollar
Phoenix,AZ,33.509986,-112.094773,85015-3514,1628 W Camelback Rd,Family Dollar
Phoenix,AZ,33.481566,-112.200695,85033-5740,6544 W Thomas Rd Ste 15,Family Dollar
Phoenix,AZ,33.465269,-112.042084,85006-3052,1831 E Mcdowell Rd,Family Dollar
Phoenix,AZ,33.466712,-112.005089,85008-3904,1630 N 36th St,Family Dollar
Phoenix,AZ,33.583612,-112.099114,85029-4901,10645 N 19th Ave,Family Dollar
Phoenix,AZ,33.381958,-112.073912,85042-5423,7026 S Central Ave,Family Dollar
Phoenix,AZ,33.436073,-112.094319,85007-3518,1625 W Buckeye Rd,Family Dollar
Phoenix,AZ,33.466981,-112.184927,85035-4988,1623 N 59th Ave,Family Dollar
Phoenix,AZ,33.45939,-112.0309,85008-4906,1014 N 24th St  Ste 7,Family Dollar
Phoenix,AZ,33.49365,-112.24027,85037,8411 W Indian School Rd,Family Dollar
Phoenix,AZ,33.476538,-112.013294,85008-2148,2548 N 32nd St,Family Dollar
Phoenix,AZ,33.450789,-112.1367,85009-4106,3555 W Van Buren St,Family Dollar
Phoenix,AZ,33.39179,-112.09616,85041,1717 W Southern Ave.,Family Dollar
Phoenix,AZ,33.391788,-111.979841,85042,4725 East Southern Ave.,Family Dollar
Phoenix,AZ,33.465659,-112.149817,85009-2008,"4239 W. Mcdowell Rd., Ste. 24",Family Dollar
Phoenix,AZ,33.627861,-112.011413,85032,3202 E. Greenway Road,Family Dollar
Phoenix,AZ,33.452505,-112.204156,85043,400 N. 67th Ave,Family Dollar
Phoenix,AZ,33.397884,-112.072694,85040-8724,5255 S. Central Avenue,Family Dollar
Phoenix,AZ,33.495497,-112.129663,85017,3250 W Indian School Rd.,Family Dollar
Pinetop,AZ,34.124627,-109.925661,85935,2604 E White Mountain Blvd,Family Dollar
Prescott Valley,AZ,34.58735348,-112.33042376,86314-2229,7700 E State Route 69  Ste 1e,Family Dollar
Quartsite,AZ,33.667366,-114.209541,85346,470 E Main St,Family Dollar
Rio Rico,AZ,31.488895,-111.007112,85648-6222,1283 W Frontage Rd,Family Dollar
Salome,AZ,33.78288914,-113.61114721,85348,66952 Hope Lane,Family Dollar
Sanders,AZ,35.21004625,-109.32991205,86512,Highway 191 South Exit 339,Family Dollar
San Luis,AZ,32.493764,-114.781981,85349,725 Juan Sanchez Blvd,Family Dollar
San Manuel,AZ,32.602275,-110.631696,85631-1315,440 S Avenue A,Family Dollar
Seligman,AZ,35.32754305,-112.88212484,86337,22765 W Old Highway 66,Family Dollar
Show Low,AZ,34.249895,-110.040666,85901-4839,161 E Deuce Of Clubs Box #7,Family Dollar
Sierra Vista,AZ,31.555083,-110.299523,85635-1813,21 E Fry Blvd,Family Dollar
Sierra Vista,AZ,31.493097,-110.256663,85650-9510,4155 S Hwy 92,Family Dollar
Snowflake,AZ,34.508904,-110.07949,85937,36 S Main Street,Family Dollar
Somerton,AZ,32.596125,-114.704779,85350,531 East Main Street,Family Dollar
Stanfield,AZ,32.87971,-111.97919,85172,60 North Albany Way,Family Dollar
St Michaels,AZ,35.65714972,-109.09319348,86511,47337-C State Highway 264,Family Dollar
Sun City,AZ,33.607551,-112.269188,85351-2813,13602 N 99th Avenue,Family Dollar
Superior,AZ,33.289372,-111.101629,85173,580 W. Us Highway 60,Family Dollar
Tempe,AZ,33.415516,-111.915351,85281-5826,1344 E Apache Blvd,Family Dollar
Three Points,AZ,32.083039,-111.298654,85735,15564 W Ajo Highway,Family Dollar
Tolleson,AZ,33.4508,-112.26654,85353,9602 W Van Buren St,Family Dollar
Tombstone,AZ,31.71737262,-110.06936163,85638,208 N. Sumner Street,Family Dollar
Topock (Golden Shore,AZ,34.779996,-114.481282,86436,12961 S. Oatman Highway,Family Dollar
Tuba City,AZ,36.129215,-111.23938,86045-2508,1012 N Main St,Family Dollar
Tucson,AZ,32.119905,-111.027425,85746-9617,2820 W. Los Reales Road,Family Dollar
Tucson,AZ,32.074814,-110.959134,85756,9776 S. Nogales Highway,Family Dollar
Tucson,AZ,32.2511,-110.973,85705-5529,16 W. Grant Road,Family Dollar
Tucson,AZ,32.163433,-110.971855,85714,208 W Irvington Rd,Family Dollar
Tucson,AZ,32.207729,-110.897355,85711,4443 E 22nd St,Family Dollar
Tucson,AZ,32.178272,-110.993866,85713-5702,1340 W Ajo Way,Family Dollar
Tucson,AZ,32.237296,-110.872403,85712-5021,5629 E Speedway Blvd,Family Dollar
Tucson,AZ,32.228479,-110.99181,85745-3115,1231 W Saint Marys Rd,Family Dollar
Tucson,AZ,32.193737,-110.968877,85713-3498,2424 S 6th Ave,Family Dollar
Tucson,AZ,32.134575,-110.971202,85706-6820,194 W Valencia Rd,Family Dollar
Tucson,AZ,32.181787,-110.968749,85713-6112,3570 S 6th Ave,Family Dollar
Tucson,AZ,32.251259,-110.915416,85716-2933,3607 E Grant Rd,Family Dollar
Tucson,AZ,32.135159,-111.030464,85746-8426,2960 W Valencia Rd,Family Dollar
Tucson,AZ,32.148139,-110.955558,85706-4223,5713 South Park Avenue,Family Dollar
Tucson,AZ,32.159555,-111.000088,85746,5089 S Midvale Park Rd,Family Dollar
Tucson,AZ,32.152166,-110.978013,85706-3206,5530 S 12th Ave,Family Dollar
Tucson,AZ,32.185384,-111.090172,85713-5501,3191 S Kinney Rd,Family Dollar
Tucson,AZ,32.134126,-111.061072,85746-8709,4530 W. Valencia Rd,Family Dollar
Tucson,AZ,32.157215,-110.926968,85706,3088 Benson Highway,Family Dollar
Tucson,AZ,32.272909,-110.994481,85705-3115,1354 W Prince Road,Family Dollar
Tucson,AZ,32.325611,-111.218968,85743,6641 N. Sandario Road,Family Dollar
Wellton,AZ,32.67325,-114.14259,85356,28849 Los Angeles Avenue,Family Dollar
Wickenburg,AZ,33.966297,-112.733589,85390-3217,200 W Wickenburg Way,Family Dollar
Willcox,AZ,32.263954,-109.83737,85643,850 W Rex Allen Drive,Family Dollar
Williams,AZ,35.24784,-112.19667,86046-2229,901 West Route 66,Family Dollar
Winslow,AZ,35.035904,-110.699651,86047-2517,1537 N Park Dr,Family Dollar
Wittmann,AZ,33.7662,-112.515,85361,31206 N Us Highway 60,Family Dollar
Yuma,AZ,32.699041,-114.616878,85364-4700,432 East 16th St,Family Dollar
Yuma,AZ,32.718399,-114.624098,85364-2241,489 S 4th Avenue,Family Dollar
Yuma,AZ,32.713819,-114.647725,85364-2707,2298 W 8th St,Family Dollar
Yuma,AZ,32.7126,-114.667982,85364-3236,810 S Avenue C,Family Dollar
Yuma,AZ,32.666072,-114.409249,85367,11337 S. Foothills Blvd.,Family Dollar
Arkadelphia,AR,34.123471,-93.066555,71923,1550 Pine Street,Family Dollar
Ashdown,AR,33.66481786,-94.12159718,71822,650 Constitution Avenue,Family Dollar
